16 16 0 [1, 0, 3, 6, 5, 2, 7, 4]
17 16 1 [1, 3, 0, 6, 5, 2, 7, 4]
18 16 2 [1, 3, 6, 0, 5, 2, 7, 4]
11 8 3 [1, 3, 6, 4, 5, 2, 7, 0]
14 10 4 [1, 3, 6, 4, 5, 2, 0, 7]
17 12 5 [1, 3, 0, 4, 5, 2, 6, 7]
18 12 6 [1, 0, 3, 4, 5, 2, 6, 7]
11 4 7 [1, 2, 3, 4, 5, 0, 6, 7]
10 2 8 [1, 2, 3, 4, 5, 6, 0, 7]
9 0 9 [1, 2, 3, 4, 5, 6, 7, 0]
9 22.429048
